time	V(n007)
5.280349845631499e-005	-1.739110e+000
5.291050796646379e-005	-1.739108e+000
5.312452698676140e-005	-1.739104e+000
5.332326434690643e-005	-1.739101e+000
5.360897634690970e-005	-1.739096e+000
5.389468834691297e-005	-1.739090e+000
5.418040034691624e-005	-1.739085e+000
5.446611234691950e-005	-1.739080e+000
5.475182434692277e-005	-1.739075e+000
5.503753634692604e-005	-1.739070e+000
5.532324834692931e-005	-1.739065e+000
5.560896034693258e-005	-1.739060e+000
5.589467234693585e-005	-1.739054e+000
5.618038434693912e-005	-1.739049e+000
5.646609634694239e-005	-1.739044e+000
5.675180834694565e-005	-1.739039e+000
5.703752034694892e-005	-1.739034e+000
5.732323234695219e-005	-1.739029e+000
5.760894434695546e-005	-1.739024e+000
5.789465634695873e-005	-1.739019e+000
5.818036834696200e-005	-1.739014e+000
5.846608034696527e-005	-1.739009e+000
5.875179234696853e-005	-1.739004e+000
5.903750434697180e-005	-1.738999e+000
5.932321634697507e-005	-1.738994e+000
5.960892834697834e-005	-1.738990e+000
5.989464034698161e-005	-1.738985e+000
6.018035234698488e-005	-1.738980e+000
6.046606434698815e-005	-1.738975e+000
6.075177634699142e-005	-1.738970e+000
6.103748834699468e-005	-1.738965e+000
6.132320034699795e-005	-1.738961e+000
6.160891234700122e-005	-1.738956e+000
6.189462434700449e-005	-1.738951e+000
6.218033634700776e-005	-1.738946e+000
6.246604834701103e-005	-1.738941e+000
6.275176034701430e-005	-1.738937e+000
6.303747234701757e-005	-1.738932e+000
6.332318434702083e-005	-1.738928e+000
6.342587175713760e-005	-1.738927e+000
6.349260329424622e-005	-1.738926e+000
6.354080185845545e-005	-1.738926e+000
6.358369839942757e-005	-1.738926e+000
6.362931668446592e-005	-1.738926e+000
6.369610624886585e-005	-1.738926e+000
6.376818454978395e-005	-1.738926e+000
6.391234115162708e-005	-1.738927e+000
6.406251053620721e-005	-1.738927e+000
6.430541301655213e-005	-1.738931e+000
6.455607943323116e-005	-1.738941e+000
6.484179143323443e-005	-1.738961e+000
6.512750343323770e-005	-1.738991e+000
6.529659321788395e-005	-1.739015e+000
6.544245646940977e-005	-1.739037e+000
6.557901090158136e-005	-1.739058e+000
6.573087184907206e-005	-1.739077e+000
6.585474413766529e-005	-1.739089e+000
6.598051455895815e-005	-1.739099e+000
6.611401376922094e-005	-1.739105e+000
6.629186197516096e-005	-1.739109e+000
6.650523262807101e-005	-1.739110e+000
6.679094462807428e-005	-1.739107e+000
6.686553401548390e-005	-1.739106e+000
6.691984111741739e-005	-1.739105e+000
6.700339759899837e-005	-1.739103e+000
6.711035069462135e-005	-1.739101e+000
6.730241280682170e-005	-1.739098e+000
6.749612031862334e-005	-1.739094e+000
6.778183231862661e-005	-1.739089e+000
6.806754431862988e-005	-1.739084e+000
6.835325631863315e-005	-1.739079e+000
6.863896831863642e-005	-1.739074e+000
6.892468031863969e-005	-1.739069e+000
6.921039231864296e-005	-1.739064e+000
6.949610431864622e-005	-1.739058e+000
6.978181631864949e-005	-1.739053e+000
7.006752831865276e-005	-1.739048e+000
7.035324031865603e-005	-1.739043e+000
7.063895231865930e-005	-1.739038e+000
7.092466431866257e-005	-1.739033e+000
7.121037631866584e-005	-1.739028e+000
7.142799999999838e-005	-1.739024e+000
