time	V(n005)
1.387668075301246e-005	1.188203e+001
1.398588149260222e-005	1.202381e+001
1.408572158905636e-005	1.212733e+001
1.420816487951448e-005	1.221972e+001
1.433870747620525e-005	1.227893e+001
1.448154553063130e-005	1.229399e+001
1.466070257641339e-005	1.224306e+001
1.485239147607648e-005	1.210510e+001
1.506307078315977e-005	1.185571e+001
1.526373943541021e-005	1.151522e+001
1.554945143541348e-005	1.087408e+001
1.583516343541674e-005	1.007337e+001
1.612087543542001e-005	9.111851e+000
1.640658743542328e-005	8.004798e+000
1.669229943542655e-005	6.769801e+000
1.697801143542982e-005	5.426473e+000
1.726372343543309e-005	3.996166e+000
1.754943543543636e-005	2.501652e+000
1.783514743543962e-005	9.668039e-001
1.812085943544289e-005	-5.837620e-001
1.840657143544616e-005	-2.125056e+000
1.869228343544943e-005	-3.632115e+000
1.897799543545270e-005	-5.080431e+000
1.926370743545597e-005	-6.446391e+000
1.954941943545924e-005	-7.707724e+000
1.983513143546251e-005	-8.843932e+000
2.012084343546577e-005	-9.836692e+000
2.040655543546904e-005	-1.067019e+001
2.069226743547231e-005	-1.133141e+001
2.097797943547558e-005	-1.181032e+001
2.126369143547885e-005	-1.209997e+001
2.154940343548212e-005	-1.219655e+001
2.183511543548539e-005	-1.209936e+001
2.212082743548866e-005	-1.181072e+001
2.240653943549192e-005	-1.133584e+001
2.269225143549519e-005	-1.068268e+001
2.297796343549846e-005	-9.861848e+000
2.326367543550173e-005	-8.886340e+000
2.354938743550500e-005	-7.771412e+000
2.383509943550827e-005	-6.534348e+000
2.412081143551154e-005	-5.194232e+000
2.440652343551480e-005	-3.771706e+000
2.469223543551807e-005	-2.288705e+000
2.497794743552134e-005	-7.681681e-001
2.526365943552461e-005	7.662656e-001
2.554937143552788e-005	2.290585e+000
2.583508343553115e-005	3.780752e+000
2.612079543553442e-005	5.213089e+000
2.640650743553769e-005	6.564665e+000
2.669221943554095e-005	7.813702e+000
2.697793143554422e-005	8.939955e+000
2.726364343554749e-005	9.925054e+000
2.754935543555076e-005	1.077010e+001
2.771787097936157e-005	1.119270e+001
2.784030385452607e-005	1.145566e+001
2.791998247573396e-005	1.160707e+001
2.801093505695740e-005	1.176219e+001
2.809718856135873e-005	1.189301e+001
2.818896980691377e-005	1.201105e+001
2.831437438249873e-005	1.213940e+001
2.844611441445155e-005	1.223131e+001
2.863428881841323e-005	1.228239e+001
2.889213990001083e-005	1.221962e+001
2.916636483139140e-005	1.199891e+001
2.938183164816893e-005	1.170406e+001
2.958945936775564e-005	1.130334e+001
